name,take_the_throne,die_first,will_die
Arya Stark,2000,2500,125
Beric Dondarrion,12500,1400,-800
Bran Stark,275,5000,200
Brienne of Tarth,10000,1800,100
Bronn,10000,1000,110
Cersei Lannister,2500,2000,-5000
Davos Seaworth,7000,1600,100
Daenerys Targeryen,550,10000,-450
Drogon (Dragon),1000000,2000,100
Euron Greyjoy,10000,800,100
Gendry,650,1400,200
Ghost (Direwolf),1000000,2500,100
Gregor Clegane,15000,500,100
Grey Worm,15000,1400,-250
Ice Viserion Wight (Dragon),1000000,2000,100
Jaime Lannister,4000,5000,-450
Jon Snow,225,6600,125
Jorah Mormont,10000,1400,-700
Melisandre,10000,1800,-450
Missandei,15000,3300,100
Nymeria (Direwolf),1000000,2000,100
Podrick Payne,15000,1600,-190
Rhaegal (Dragon),1000000,2000,100
Sansa Stark,500,4000,100
Tyrion Lannister,1500,4000,-175
Samwell Tarley,2000,3300,300
Sandor Clegane,12500,1200,-300
The Night King,1500,2000,100
Theon Greyjoy,15000,400,-200
Tormund Giantsbane,15000,800,100
Varys,7000,2200,-1200
Yara Greyjoy,15000,200,-175
